"Year","Region","Depth_Mean","Depth_Median","Depth_Q5","Depth_Q95"
1990,"Region1",-325.572210678804,-144.37698,-73.2852317428084,-1308.77659566528
1990,"Region2",-129.543301072302,-128.61068,-42.9453722442286,-228.584855696481
1991,"Region1",-376.514989924196,-156.76253,-70.6699089411629,-1453.85004223589
1991,"Region2",-124.004437578389,-120.25267,-42.5411539765929,-214.704215526151
1992,"Region1",-301.788111617151,-145.75463,-68.2070890927273,-1246.3746493232
1992,"Region2",-126.547411872418,-120.74826,-42.8157198350187,-215.446186790898
1993,"Region1",-294.913329565133,-148.66989,-77.4671371082688,-1246.30177876195
1993,"Region2",-126.961857743327,-128.61068,-42.2047327223554,-213.146364121663
1994,"Region1",-348.63063930493,-149.37518,-76.5598977737053,-1316.66760945173
1994,"Region2",-125.467810691997,-120.74826,-43.0263857691101,-212.812881104011
1995,"Region1",-462.567897785943,-166.44175,-76.7058082985663,-1511.89853389889
1995,"Region2",-121.493360888875,-119.1489,-38.6401405113837,-211.899159880964
1996,"Region1",-309.792138061966,-148.71286,-76.5721234535359,-1279.8799562956
1996,"Region2",-128.093854284767,-128.61068,-46.0662031048875,-213.278555681429
1997,"Region1",-308.736434857164,-149.05865,-73.3305371995034,-1245.79046633708
1997,"Region2",-132.308100591226,-128.61068,-53.7886097462258,-218.727480070833
1998,"Region1",-295.017233751311,-144.37698,-73.2819232987948,-1245.94626055487
1998,"Region2",-129.657855750498,-128.61068,-48.2035016552167,-211.68753531998
1999,"Region1",-281.387759012592,-152.49924,-73.2858844682357,-1240.19955736463
1999,"Region2",-127.916643594349,-128.61068,-46.0798371447331,-200.738362931202
2000,"Region1",-303.769487021979,-148.71286,-73.2903226757793,-1246.38986821462
2000,"Region2",-128.342543262015,-128.61068,-42.750931675076,-209.223903823159
2001,"Region1",-339.814052540958,-149.05865,-69.4568750325886,-1324.66111341001
2001,"Region2",-125.521878244785,-125.87012,-46.3575680876259,-193.438292161427
2002,"Region1",-303.153093145821,-146.13088,-76.6500207908498,-1246.26647369436
2002,"Region2",-126.810895512249,-128.61068,-46.2693436830833,-200.269183218593
2003,"Region1",-283.080004824814,-136.68755,-81.9557687323552,-1245.81937701212
2003,"Region2",-131.598634121344,-132.96301,-58.456594639231,-193.909410900818
2004,"Region1",-287.03861791056,-136.68755,-69.3730625388867,-1246.03088371603
2004,"Region2",-133.166606369615,-132.96301,-56.8123966440256,-207.256042864127
2005,"Region1",-279.912317743036,-136.68755,-76.3962736434583,-1246.27759232281
2005,"Region2",-131.032620042696,-131.79974,-46.3650907976691,-200.096841906319
2006,"Region1",-327.618197109856,-150.3121,-76.7519194778712,-1316.48140510224
2006,"Region2",-127.151134564618,-128.61068,-50.8246275589363,-196.17682084128
2007,"Region1",-302.881567724237,-148.2568,-72.9639466794606,-1246.53685097484
2007,"Region2",-130.920075443325,-130.49988,-48.5673487180683,-207.35588525543
2008,"Region1",-263.502260752958,-133.87537,-73.2883542131637,-1189.13489900104
2008,"Region2",-129.042757009179,-128.61068,-51.5794384103956,-193.835797499487
2009,"Region1",-265.993846600463,-136.68755,-69.3736672969929,-1131.44678565529
2009,"Region2",-134.703552914777,-150.86037,-58.2694650372428,-207.468876478833
2010,"Region1",-311.258364454139,-148.66989,-68.1908861826726,-1246.5480871793
2010,"Region2",-124.518328345433,-120.25267,-36.4046986884527,-193.322513784408
2011,"Region1",-271.386231229369,-136.68755,-61.8216615061125,-1216.84808473416
2011,"Region2",-134.403360417189,-140.09472,-56.810855450007,-201.078659148109
2012,"Region1",-266.466822072499,-132.468,-64.1789831088045,-1139.31530694105
2012,"Region2",-122.940088614497,-128.61068,-36.402308788433,-193.343878147041
2013,"Region1",-256.936629018046,-133.87537,-61.7952332914544,-1124.96186753469
2013,"Region2",-127.666585900413,-128.61068,-40.8446791766885,-200.832801185585
2014,"Region1",-246.565435472584,-131.20985,-60.7047150105569,-1120.7617375268
2014,"Region2",-130.695486906403,-131.79974,-46.3602001368641,-193.448136034877
2015,"Region1",-254.321445146286,-136.68755,-62.6671689560122,-1061.04498880187
2015,"Region2",-131.257138793473,-131.79974,-48.0115452117564,-212.829531447558
2016,"Region1",-255.850813202714,-135.34977,-64.1986921508806,-1093.55257164447
2016,"Region2",-128.80314808178,-128.61068,-43.3043687437284,-198.955459717187
2017,"Region1",-266.501011072535,-136.68755,-61.3299414443437,-1118.05944293995
2017,"Region2",-131.535730089626,-131.79974,-47.8041674190967,-209.873920604294
2018,"Region1",-259.217301683763,-133.87537,-60.8553537208852,-1124.33264782606
2018,"Region2",-123.566360178646,-120.25267,-36.4046778364305,-193.446768010706
2019,"Region1",-313.222933062062,-148.2568,-61.8225479400963,-1279.22690935015
2019,"Region2",-130.620463601226,-130.49988,-48.4473475110124,-213.974365397349
2020,"Region1",-264.221099522004,-133.87537,-58.6228519639314,-1128.0844584058
2020,"Region2",-126.469157831283,-128.61068,-42.8661696377366,-200.024237630509
2021,"Region1",-274.666856552112,-143.70183,-60.7387526056553,-1217.35204525158
2021,"Region2",-128.385363587132,-128.61068,-43.5061578143376,-207.305709628602
2022,"Region1",-264.460084674511,-136.68755,-60.9074329073624,-1127.61372708561
2022,"Region2",-127.333740057078,-128.61068,-43.0742892321454,-207.383387074829
2023,"Region1",-264.662888621714,-133.87537,-59.9139886429874,-1129.20406049874
2023,"Region2",-126.14791218498,-128.61068,-42.8281022355842,-200.157192340573
