"Year","Region","centroid_longitude","centroid_latitude"
1990,"Region1",-64.4264615703742,42.4040038161243
1990,"Region2",-56.3609651604826,45.5840454410195
1991,"Region1",-63.8962216848748,42.525416016802
1991,"Region2",-56.2525818123376,45.7434192478322
1992,"Region1",-64.1165402638366,42.6268947607816
1992,"Region2",-56.3459314053984,45.6889258263893
1993,"Region1",-64.5386349505289,42.4172231941788
1993,"Region2",-56.358019649898,45.7573831633461
1994,"Region1",-64.1145739760833,42.5036110702031
1994,"Region2",-56.3026913774368,45.854276654637
1995,"Region1",-63.7462552079555,42.4515473946484
1995,"Region2",-56.4001911211783,45.6606403255444
1996,"Region1",-64.5612023227537,42.4529988919207
1996,"Region2",-56.2500428899142,45.951677351244
1997,"Region1",-63.7979635296643,42.570359096451
1997,"Region2",-56.2681778358679,45.8936856940052
1998,"Region1",-64.3526050178178,42.4957173502096
1998,"Region2",-56.2904393620155,46.0494092293815
1999,"Region1",-63.9338902418383,42.5982744358793
1999,"Region2",-56.2321682610347,46.080230448502
2000,"Region1",-63.943836102833,42.6026521884882
2000,"Region2",-56.2788824679662,46.0350734479172
2001,"Region1",-64.18644253613,42.6047382476618
2001,"Region2",-56.2149087893177,46.2535139228866
2002,"Region1",-64.2820640338148,42.5188578150787
2002,"Region2",-56.1968464872568,46.1624569482297
2003,"Region1",-65.1097708006278,42.4273407105922
2003,"Region2",-56.0735369100218,46.3140799838477
2004,"Region1",-64.3820182918024,42.6242354993782
2004,"Region2",-56.2121192074576,46.2492496518492
2005,"Region1",-64.9310734060144,42.4396015961592
2005,"Region2",-56.1834312712856,46.2700241898042
2006,"Region1",-64.790169196695,42.4956975678581
2006,"Region2",-56.0671453606137,46.3348963903996
2007,"Region1",-64.2679120573461,42.6330236454303
2007,"Region2",-56.304547805819,46.1527910940662
2008,"Region1",-64.4368009584516,42.6011853574892
2008,"Region2",-56.1969694991259,46.2875169222767
2009,"Region1",-64.4412428989894,42.6194068447559
2009,"Region2",-56.1101569037546,46.2810237521512
2010,"Region1",-63.8761333281222,42.6037386826232
2010,"Region2",-56.1602029535308,46.4425395833519
2011,"Region1",-63.6345290651369,42.7472089054835
2011,"Region2",-56.31168178646,46.160658333699
2012,"Region1",-63.6084020876301,42.7125537402131
2012,"Region2",-56.4675267958247,46.2158661395829
2013,"Region1",-63.4697699884441,42.8447799194937
2013,"Region2",-56.4182539013523,46.1043561299256
2014,"Region1",-63.5674379263184,42.8302471117325
2014,"Region2",-56.321705265464,46.2015704478108
2015,"Region1",-63.157355042606,42.9070128046591
2015,"Region2",-56.5117503118835,45.9103464236163
2016,"Region1",-62.6889713453539,42.9214279037735
2016,"Region2",-56.3893585911545,46.0311567467369
2017,"Region1",-62.2999997589566,42.9072715419305
2017,"Region2",-56.4555198019026,45.8953496644185
2018,"Region1",-62.2100019206525,43.0315834732097
2018,"Region2",-56.3299396260747,46.1527371355486
2019,"Region1",-61.8920287524629,43.0022910002267
2019,"Region2",-56.4627881146789,45.8365384638903
2020,"Region1",-62.0766492319449,43.0834831206684
2020,"Region2",-56.3720938875209,46.0399692966772
2021,"Region1",-62.6994201354266,43.0021290299238
2021,"Region2",-56.4441980617959,45.9285733697905
2022,"Region1",-62.1732343687148,43.0779886721464
2022,"Region2",-56.4297971099658,45.9020830398084
2023,"Region1",-62.3883274130274,42.9471839680453
2023,"Region2",-56.3422070066626,46.0378058215023
