"Region","Year","Threshold","Area_Threshold","Total_Area","Percent_Area_Used","Total_Abundance","n_cells","Area_Efficiency"
"Region1",1990,50,38775493.291479,797365143.866595,4.86295313881521,1130382.85212169,55,34.3029737391174
"Region1",1991,50,30315385.6642472,797365143.866595,3.80194518125553,1562601.89093942,43,19.400581709281
"Region1",1992,50,44415565.0429668,797365143.866595,5.57029177718833,998483.168699922,63,44.4830383077946
"Region1",1993,50,33135421.5399911,797365143.866595,4.15561450044209,927750.054528168,47,35.71589285095
"Region1",1994,50,38775493.291479,797365143.866595,4.86295313881521,791191.884515179,55,49.0089623647234
"Region1",1995,50,19740251.1302075,797365143.866595,2.47568523430592,1031428.34255104,28,19.1387518801197
"Region1",1996,50,33135421.5399911,797365143.866595,4.15561450044209,905715.236994574,47,36.5848118553731
"Region1",1997,50,32430412.5710551,797365143.866595,4.06719717064545,1113933.73962527,46,29.1134126002545
"Region1",1998,50,40890520.1982869,797365143.866595,5.12820512820513,816477.589196851,58,50.0816198011141
"Region1",1999,50,30315385.6642472,797365143.866595,3.80194518125553,848564.886720341,43,35.7254773779464
"Region1",2000,50,39480502.2604149,797365143.866595,4.95137046861185,770569.299994552,56,51.2354985602127
"Region1",2001,50,36660466.384671,797365143.866595,4.59770114942529,844234.818391527,52,43.4244899476169
"Region1",2002,50,40185511.2293509,797365143.866595,5.03978779840849,844121.186940535,57,47.6063293411706
"Region1",2003,50,35955457.415735,797365143.866595,4.50928381962865,943819.885673059,51,38.0956768992999
"Region1",2004,50,43710556.0740308,797365143.866595,5.48187444739169,863544.360807944,62,50.6176150963856
"Region1",2005,50,30315385.6642472,797365143.866595,3.80194518125553,1263230.28925006,43,23.998304918927
"Region1",2006,50,26085331.8506313,797365143.866595,3.27144120247569,1426004.06295872,37,18.2926069624995
"Region1",2007,50,45825582.9808388,797365143.866595,5.74712643678161,1408214.67759958,65,32.5416172049508
"Region1",2008,50,41595529.1672229,797365143.866595,5.21662245800177,1687381.98369319,59,24.6509264465313
"Region1",2009,50,45120574.0119028,797365143.866595,5.65870910698497,1902709.99388336,64,23.7138471742682
"Region1",2010,50,44415565.0429668,797365143.866595,5.57029177718833,2127720.07058451,63,20.8747220355755
"Region1",2011,50,58515744.4216864,797365143.866595,7.33863837312113,2040863.35155233,83,28.6720540976826
"Region1",2012,50,57105726.4838145,797365143.866595,7.16180371352785,2400064.34493806,81,23.793414790839
"Region1",2013,50,64155816.1731743,797365143.866595,8.04597701149425,2337985.24048483,91,27.4406420803026
"Region1",2014,50,57105726.4838145,797365143.866595,7.16180371352785,2523149.7227068,81,22.6327141706645
"Region1",2015,50,67680861.0178542,797365143.866595,8.48806366047745,2489610.79685805,96,27.1853179232951
"Region1",2016,50,60630771.3284944,797365143.866595,7.60389036251105,3365729.2968477,86,18.0141556200852
"Region1",2017,50,74730950.707214,797365143.866595,9.37223695844386,2677242.75129111,106,27.9134010807106
"Region1",2018,50,74025941.738278,797365143.866595,9.28381962864722,2665279.7681575,105,27.7741731365979
"Region1",2019,50,73320932.769342,797365143.866595,9.19540229885058,2685262.85937623,104,27.3049368382409
"Region1",2020,50,80371022.4587018,797365143.866595,10.079575596817,2829700.80222148,114,28.4026574101424
"Region1",2021,50,69795887.9246621,797365143.866595,8.75331564986737,2219874.92933684,99,31.4413605029148
"Region1",2022,50,81076031.4276378,797365143.866595,10.1679929266136,2492432.5911467,115,32.5288762936361
"Region1",2023,50,74730950.707214,797365143.866595,9.37223695844386,2556299.8106119,106,29.2340320947431
"Region2",1990,50,3099205.47911992,36304978.4696905,8.53658536585366,75285.3717164741,21,41.166104496257
"Region2",1991,50,2213718.19937138,36304978.4696905,6.09756097560976,97460.0867767207,15,22.7141004341907
"Region2",1992,50,2508880.62595422,36304978.4696905,6.91056910569106,76161.3163588422,17,32.9416657418757
"Region2",1993,50,2361299.4126628,36304978.4696905,6.50406504065041,52493.3380592732,16,44.9828397271388
"Region2",1994,50,1918555.77278852,36304978.4696905,5.28455284552846,47771.5636952137,13,40.1610419334201
"Region2",1995,50,1918555.77278852,36304978.4696905,5.28455284552846,55390.8937591683,13,34.6366639457044
"Region2",1996,50,1475812.13291425,36304978.4696905,4.0650406504065,54779.0958239345,10,26.9411553936132
"Region2",1997,50,1770974.5594971,36304978.4696905,4.8780487804878,58176.0582946928,12,30.4416389045502
"Region2",1998,50,1475812.13291425,36304978.4696905,4.0650406504065,57841.9439576979,10,25.5145666264877
"Region2",1999,50,1328230.91962282,36304978.4696905,3.65853658536585,54712.7259330929,9,24.2764530001136
"Region2",2000,50,1475812.13291425,36304978.4696905,4.0650406504065,40749.3455325422,10,36.2168303227269
"Region2",2001,50,885487.27974855,36304978.4696905,2.4390243902439,59553.7637554999,6,14.8687039056667
"Region2",2002,50,1033068.49303997,36304978.4696905,2.84552845528455,57744.7702720993,7,17.8902520206081
"Region2",2003,50,885487.27974855,36304978.4696905,2.4390243902439,79043.3670343403,6,11.2025501059925
"Region2",2004,50,1180649.7063314,36304978.4696905,3.2520325203252,72313.260086615,8,16.326877047408
"Region2",2005,50,1033068.49303997,36304978.4696905,2.84552845528455,85436.3217799452,7,12.0916780067008
"Region2",2006,50,737906.066457125,36304978.4696905,2.03252032520325,129808.928598611,5,5.68455555733643
"Region2",2007,50,1328230.91962282,36304978.4696905,3.65853658536585,109112.324630327,9,12.1730604138706
"Region2",2008,50,1033068.49303997,36304978.4696905,2.84552845528455,147766.237726939,7,6.99123500016973
"Region2",2009,50,885487.27974855,36304978.4696905,2.4390243902439,143920.699560711,6,6.15260544488263
"Region2",2010,50,737906.066457125,36304978.4696905,2.03252032520325,290882.797262598,5,2.53678138893505
"Region2",2011,50,1475812.13291425,36304978.4696905,4.0650406504065,178278.308007877,10,8.27813629939232
"Region2",2012,50,1180649.7063314,36304978.4696905,3.2520325203252,270324.130258011,8,4.36753354280481
"Region2",2013,50,1475812.13291425,36304978.4696905,4.0650406504065,200244.816262835,10,7.37003913737843
"Region2",2014,50,1328230.91962282,36304978.4696905,3.65853658536585,185434.594761885,9,7.16280002298598
"Region2",2015,50,2361299.4126628,36304978.4696905,6.50406504065041,137918.283345915,16,17.1210035056801
"Region2",2016,50,1623393.34620568,36304978.4696905,4.47154471544716,189721.046361386,11,8.55673831311995
"Region2",2017,50,2361299.4126628,36304978.4696905,6.50406504065041,130439.55014587,16,18.1026338255704
"Region2",2018,50,1033068.49303997,36304978.4696905,2.84552845528455,182404.31754028,7,5.66361864110943
"Region2",2019,50,2508880.62595422,36304978.4696905,6.91056910569106,116940.647829102,17,21.4543075699455
"Region2",2020,50,1475812.13291425,36304978.4696905,4.0650406504065,145772.065426678,10,10.1241079941793
"Region2",2021,50,2066136.98607995,36304978.4696905,5.69105691056911,131150.736194667,14,15.753910698703
"Region2",2022,50,2066136.98607995,36304978.4696905,5.69105691056911,125968.041168268,14,16.4020728346486
"Region2",2023,50,1475812.13291425,36304978.4696905,4.0650406504065,135036.376277728,10,10.9289968643632
"Region1",1990,75,90241148.0238056,797365143.866595,11.3174182139699,1130382.85212169,128,79.8323752474005
"Region1",1991,75,80371022.4587018,797365143.866595,10.079575596817,1562601.89093942,114,51.4341003455357
"Region1",1992,75,105046336.371461,797365143.866595,13.1741821396994,998483.168699922,149,105.2059159978
"Region1",1993,75,82486049.3655098,797365143.866595,10.3448275862069,927750.054528168,117,88.9097758204501
"Region1",1994,75,95881219.7752934,797365143.866595,12.0247568523431,791191.884515179,136,121.185797847316
"Region1",1995,75,70500896.8935981,797365143.866595,8.84173297966401,1031428.34255104,100,68.3526852861417
"Region1",1996,75,83896067.3033817,797365143.866595,10.5216622458002,905715.236994574,119,92.6296300167956
"Region1",1997,75,82486049.3655098,797365143.866595,10.3448275862069,1113933.73962527,117,74.0493320484735
"Region1",1998,75,102931309.464653,797365143.866595,12.9089301503095,816477.589196851,146,126.067525706253
"Region1",1999,75,90946156.9927416,797365143.866595,11.4058355437666,848564.886720341,129,107.176432133839
"Region1",2000,75,102931309.464653,797365143.866595,12.9089301503095,770569.299994552,146,133.578264103412
"Region1",2001,75,95881219.7752934,797365143.866595,12.0247568523431,844234.818391527,136,113.571742939921
"Region1",2002,75,97996246.6821014,797365143.866595,12.290008841733,844121.186940535,139,116.092627691626
"Region1",2003,75,89536139.0548696,797365143.866595,11.2290008841733,943819.885673059,127,94.8657052198253
"Region1",2004,75,111391417.091885,797365143.866595,13.9699381078691,863544.360807944,158,128.993277181112
"Region1",2005,75,82486049.3655098,797365143.866595,10.3448275862069,1263230.28925006,117,65.2977133840571
"Region1",2006,75,70500896.8935981,797365143.866595,8.84173297966401,1426004.06295872,100,49.4394782770257
"Region1",2007,75,107866372.247205,797365143.866595,13.5278514588859,1408214.67759958,153,76.5979604978072
"Region1",2008,75,107161363.278269,797365143.866595,13.4394341290893,1687381.98369319,152,63.507471523267
"Region1",2009,75,114916461.936565,797365143.866595,14.4120247568523,1902709.99388336,163,60.3962045219642
"Region1",2010,75,112096426.060821,797365143.866595,14.0583554376658,2127720.07058451,159,52.683822280262
"Region1",2011,75,139591775.849324,797365143.866595,17.5066312997347,2040863.35155233,198,68.3983941125441
"Region1",2012,75,134656713.066772,797365143.866595,16.8877099911583,2400064.34493806,191,56.1054595685215
"Region1",2013,75,143821829.66294,797365143.866595,18.0371352785146,2337985.24048483,204,61.5152855426564
"Region1",2014,75,131836677.191028,797365143.866595,16.5340406719717,2523149.7227068,187,52.2508339495588
"Region1",2015,75,150166910.383364,797365143.866595,18.8328912466844,2489610.79685805,213,60.317424142311
"Region1",2016,75,136771739.97358,797365143.866595,17.1529619805482,3365729.2968477,194,40.6365836080992
"Region1",2017,75,160037035.948468,797365143.866595,20.0707338638373,2677242.75129111,227,59.7768117483143
"Region1",2018,75,164267089.762084,797365143.866595,20.6012378426172,2665279.7681575,233,61.632212769784
"Region1",2019,75,155806982.134852,797365143.866595,19.5402298850575,2685262.85937623,221,58.0229907812619
"Region1",2020,75,182597322.954419,797365143.866595,22.9000884173298,2829700.80222148,259,64.5288444669025
"Region1",2021,75,149461901.414428,797365143.866595,18.7444739168877,2219874.92933684,212,67.3289740062418
"Region1",2022,75,175547233.265059,797365143.866595,22.0159151193634,2492432.5911467,249,70.4320886705686
"Region1",2023,75,164267089.762084,797365143.866595,20.6012378426172,2556299.8106119,233,64.2597120573128
"Region2",1990,75,8264547.9443198,36304978.4696905,22.7642276422764,75285.3717164741,56,109.776278656685
"Region2",1991,75,6788735.81140555,36304978.4696905,18.6991869918699,97460.0867767207,46,69.6565746648515
"Region2",1992,75,7379060.66457125,36304978.4696905,20.3252032520325,76161.3163588422,50,96.8872521819872
"Region2",1993,75,7083898.2379884,36304978.4696905,19.5121951219512,52493.3380592732,48,134.948519181416
"Region2",1994,75,6198410.95823985,36304978.4696905,17.0731707317073,47771.5636952137,42,129.751058554126
"Region2",1995,75,5903248.531657,36304978.4696905,16.260162601626,55390.8937591683,40,106.574350602167
"Region2",1996,75,5755667.31836557,36304978.4696905,15.8536585365854,54779.0958239345,39,105.070506035092
"Region2",1997,75,6050829.74494842,36304978.4696905,16.6666666666667,58176.0582946928,41,104.00893292388
"Region2",1998,75,5165342.46519987,36304978.4696905,14.2276422764228,57841.9439576979,35,89.300983192707
"Region2",1999,75,4870180.03861703,36304978.4696905,13.4146341463415,54712.7259330929,33,89.0136610004164
